"community","age_group","total_population","dose1_n","dose2_n","fully_vax_n","dose1_cov","dose2_cov","fully_cov"
"Community 1","2-6",139,120,39,39,0.863309352517986,0.280575539568345,0.280575539568345
"Community 1","7-11",105,89,103,103,0.847619047619048,0.980952380952381,0.980952380952381
"Community 2","2-6",248,229,71,71,0.923387096774194,0.286290322580645,0.286290322580645
"Community 2","7-11",290,267,207,207,0.920689655172414,0.713793103448276,0.713793103448276
"Community 3","2-6",70,39,18,18,0.557142857142857,0.257142857142857,0.257142857142857
"Community 3","7-11",70,41,42,42,0.585714285714286,0.6,0.6
"Community 4","2-6",40,34,13,13,0.85,0.325,0.325
"Community 4","7-11",36,31,31,31,0.861111111111111,0.861111111111111,0.861111111111111
"Community 5","2-6",104,92,39,39,0.884615384615385,0.375,0.375
"Community 5","7-11",89,85,74,74,0.955056179775281,0.831460674157303,0.831460674157303
